#,Company,Symbol,Weight,Price,Chg,% Chg
318,"American Water Works Company, Inc",AWK,0.05%,125.92,2.09,(1.69%)
319,"Netapp, Inc",NTAP,0.05%,118.45,1.87,(1.60%)
320,"Ventas, Inc.",VTR,0.05%,58.76,1.03,(1.78%)
321,"West Pharmaceutical Services, Inc.",WST,0.05%,331.40,4.39,(1.34%)
322,Equity Residential,EQR,0.05%,71.35,1.86,(2.68%)
323,Ameren Corporation,AEE,0.05%,89.29,0.72,(0.81%)
324,Ppl Corporation,PPL,0.05%,32.43,0.41,(1.28%)
325,Archer Daniels Midland Company,ADM,0.05%,50.49,1.11,(2.25%)
326,"Corpay, Inc.",CPAY,0.05%,343.83,4.74,(1.40%)
327,"Warner Bros. Discovery, Inc. Series a",WBD,0.05%,10.69,0.20,(1.91%)
328,Cdw Corporation,CDW,0.05%,174.53,1.25,(0.72%)
329,Huntington Bancshares Inc,HBAN,0.05%,16.32,0.41,(2.58%)
330,Hubbell Incorporated,HUBB,0.05%,426.80,2.25,(0.53%)
331,Halliburton Company,HAL,0.05%,25.97,0.20,(0.78%)
332,"Pultegroup, Inc.",PHM,0.05%,110.52,1.63,(1.50%)
333,"Ptc, Inc",PTC,0.05%,187.58,0.45,(0.24%)
334,"Expedia Group, Inc.",EXPE,0.04%,184.75,5.34,(2.98%)
335,Cincinnati Financial Corp,CINF,0.04%,144.57,2.34,(1.65%)
336,International Flavors & Fragrances Inc.,IFF,0.04%,85.74,-0.20,(-0.23%)
337,Teledyne Technologies Incorporated,TDY,0.04%,467.25,2.30,(0.49%)
338,"Darden Restaurants, Inc.",DRI,0.04%,187.59,4.15,(2.26%)
339,Kellanova,K,0.04%,80.50,0.16,(0.20%)
340,"Zimmer Biomet Holdings, Inc.",ZBH,0.04%,107.12,1.31,(1.24%)
341,Biogen Inc.,BIIB,0.04%,146.47,-0.92,(-0.62%)
342,Atmos Energy Corporation,ATO,0.04%,139.69,1.72,(1.25%)
343,Waters Corp,WAT,0.04%,368.16,7.53,(2.09%)
344,Sba Communications Corp,SBAC,0.04%,203.57,5.33,(2.69%)
345,Regions Financial Corp.,RF,0.04%,23.77,0.60,(2.59%)
346,Live Nation Entertainment Inc.,LYV,0.04%,133.28,1.09,(0.82%)
347,"Centerpoint Energy, Inc.",CNP,0.04%,32.54,0.78,(2.46%)
348,Texas Pacific Land Corporation,TPL,0.04%,"1,133.12",36.79,(3.36%)
349,"Teradyne, Inc.",TER,0.04%,125.95,0.76,(0.61%)
350,Clorox Company,CLX,0.04%,164.44,0.31,(0.19%)
351,"Ulta Beauty, Inc.",ULTA,0.04%,430.01,4.49,(1.06%)
352,"Cboe Global Markets, Inc.",CBOE,0.04%,191.61,-2.19,(-1.13%)
353,Northern Trust Corp,NTRS,0.04%,102.48,1.97,(1.96%)
354,Packaging Corp of America,PKG,0.04%,227.98,0.52,(0.23%)
355,Steris Plc,STE,0.04%,207.49,3.15,(1.54%)
356,Firstenergy Corp.,FE,0.04%,39.79,0.63,(1.61%)
357,Eversource Energy,ES,0.04%,56.95,1.05,(1.88%)
358,Zebra Technologies Corporation,ZBRA,0.04%,393.04,7.67,(1.99%)
359,Weyerhaeuser Company,WY,0.04%,27.50,0.29,(1.07%)
360,"Mccormick & Company, Incorporated Non-Vtg Cs",MKC,0.04%,78.86,0.62,(0.79%)
361,Cms Energy Corporation,CMS,0.04%,66.61,0.85,(1.29%)
362,Southwest Airlines Co.,LUV,0.04%,33.28,0.50,(1.53%)
